ID,Area,Path,Evidence,Defect Type,Severity,Observed,Expected,R4B Fix,Runtime State,END
R4B-011,Home/Connect,Home > Kết Nối > Thiết bị > Laptop > Chia sẻ màn hình,Part1 140s,DUPLICATE_VISUAL_SHELL,MEDIUM,Breadcrumb/workspace appears duplicated/striped,Single continuous Tree5 workspace,Tree5 shell cleanup no partition divider,ready,Connect
R4B-012,Home/Connect,Home > Kết Nối > QR/Check-in > Live check-in,Part1 180s,DUPLICATE_VISUAL_SHELL,MEDIUM,Repeated breadcrumb/visual separator,One crumb row plus specialized QR/check-in content,Tree5 shell cleanup,ready/error,Check-in END
R4B-013,Home/Connect,Home > Kết Nối > Ứng dụng ngoài > Xem > Kiểm tra,Part1 200s,DUPLICATE_VISUAL_SHELL,MEDIUM,Repeated crumb/partition line,Continuous workspace and runtime state,Tree5 shell cleanup plus external-app panel,ready/unavailable/error,Confirm/Connect
R4B-014,Home/Connect,Home > Kết Nối > Custom API > Xem > Quét/tìm tự động,Part2 0s,MISSING_SPECIALIZED_COMPONENT,HIGH,No domain-specific config/check,Base URL auth mode scopes and server env guidance,Custom API specialized panel,config/ready/error,Validate/Save
R4B-015,Studio/Broadcast,Phòng Thu > Phát sóng > Tạo room live > Room công khai,Part2 20-40s,GENERIC_FALLBACK,CRITICAL,FUNCTIONAL CONTENT GENERIC,Room name privacy/event setup preview create,Room create specialized panel,ready/error,Create Room
R4B-016,Studio/Broadcast,Phòng Thu > Phát sóng > Đặt tên phòng > Tên phòng,Part2 60s,WRONG_INPUT_COMPONENT,HIGH,Generic textarea END,Specific room-name field event attachment preview,Room-name specialized panel,ready/error,Save Room Name
R4B-017,Studio/Broadcast,Phòng Thu > Phát sóng > Tạo video > Từ mẫu,Earlier screenshot,MISSING_SPECIALIZED_COMPONENT,CRITICAL,Generic slider before R4,Template picker local media preview render result,TemplateVideoBuilder retained and audited,ready/rendering/error,Save/Send to Broadcast
R4B-018,Studio/Mixer,Phòng Thu > Bàn Mix > Âm thanh > EQ > Parametric EQ,Part2 100s,RUNTIME_DOMAIN_OK,LOW,Specialized audio panel exists,Parametric controls test apply END,Keep specialized audio-control mapping,ready/error,Apply/Save
R4B-019,Studio/Mixer,Phòng Thu > Bàn Mix > Hiệu ứng > Hiệu ứng hình > Lower third,Part2 120s,GENERIC_FALLBACK,CRITICAL,FUNCTIONAL CONTENT GENERIC,Text/media position opacity preview apply,Graphics overlay specialized panel,ready/error,Apply Graphic
R4B-020,Studio/Flash,Phòng Thu > Phát sóng > Flash Flow > Idle > Đồng hồ,Part2 findings,GENERIC_FALLBACK,HIGH,Clock falls into generic task,Time format/timezone preview overlay,Graphics overlay specialized panel,ready/error,Apply Graphic
R4B-021,Studio/Flash,Phòng Thu > Phát sóng > Flash Flow > Idle > Banner/Mascot,Part2 findings,GENERIC_FALLBACK,HIGH,Generic task/content,Media/text overlay preview apply,Graphics overlay specialized panel,ready/error,Apply Graphic
R4B-022,Studio/Output,Phòng Thu > Bàn Mix/Output > TV thường,Part2 140s,RUNTIME_DOMAIN_OK,LOW,Display-output panel exists,Resolution/FPS test validate arm,Keep display-output specialized panel,ready/error,Apply/Take
R4B-023,Studio/Chat,Phòng Thu > Chat room > Vào phòng,Part2 160s,END_SEMANTICS,MEDIUM,Chat ends correctly on leave but needs runtime state,Chat content live session/leave END,Preserve explicit room lifecycle state,loading/ready/error,Leave room = END
R4B-024,Store/Orders,Store > Đơn hàng > Tất cả,Part2 180s,DEMO_DATA_RISK,HIGH,Potential sample orders/list,Live API result or empty state only,Orders specialized runtime lookup no fake sample,loading/ready/empty/error,Open/Update
R4B-025,Store/Orders,Store > Đơn hàng > Chờ xử lý > Cập nhật trạng thái,Part2 200s,RUNTIME_DOMAIN_OK,MEDIUM,Pending/Shipping controls exist,Use true order ID and status transition validation,Orders panel runtime state,loading/ready/error,Update Status
R4B-026,Store/Orders,Store > Đơn hàng > Tra cứu > Mã đơn,Part2 220s,WRONG_INPUT_COMPONENT,HIGH,Generic large textarea for order code,Specific order-code/customer lookup and result,Orders specialized panel catches mã đơn,loading/ready/empty/error,Lookup/Open
R4B-027,Store/Orders,Store > Đơn hàng > Chờ xử lý > Theo khách > Tìm khách,User screenshot + video,WRONG_INPUT_COMPONENT,HIGH,Tree5 cards separated by unwanted line and generic input,Customer search by name phone email ID,Customer-orders specialized panel,loading/ready/empty/error,Find/Open
R4B-028,Store/Orders,Store > Đơn hàng > Chờ xử lý > Theo khách > Lịch sử mua,User screenshot,DEMO_DATA_RISK,HIGH,No trustworthy runtime result,Live purchase history or Empty State; no sample history,Customer-orders specialized panel,loading/ready/empty/error,Open/Confirm
R4B-029,Store/Sales,Store > Bán hàng > Tạo sản phẩm > Mới,Earlier screenshot,MISSING_SPECIALIZED_COMPONENT,CRITICAL,Generic slider before R4,Product form media name price SKU stock category preview,ProductCreateForm retained and audited,ready/error,Save Draft/Publish
R4B-030,Store/Shopping,Store > Mua sắm > Tất cả mặt hàng,Part2 240s,DEMO_DATA_RISK,HIGH,Static/sample product names may appear,Runtime product catalog or Empty State,No fake catalog fallback; runtime state expected,loading/ready/empty/error,Open product
R4B-031,Store/Stickers,Store > Mua sắm > Sticker Store,Part2 260s,SEED_DATA_SCOPE,MEDIUM,Catalog demo is mixed conceptually with ownership,Catalog may show store items but ownership must be separate,R4B separates Store catalog from My Stickers wallet,loading/ready/empty/error,Purchase/Gift
R4B-032,Me/Profile,Me > Hồ sơ > Sticker của tôi,User screenshot,SEED_DATA_LEAK,CRITICAL,Hard-coded 1250 points and six demo stickers,Only true user-owned stickers/points; otherwise Empty State,Fetch /api/me/stickers; no seeded wallet data,loading/ready/empty/error,Use/Gift/Send
R4B-033,Me/Profile,Me > Hồ sơ > Thông tin cá nhân / Ảnh đại diện / Liên hệ,Part2 280s,GENERIC_CONTENT_RISK,MEDIUM,Tree nodes exist but runtime form uncertain,Live user/session profile fields and upload state,Profile specialized panel,loading/ready/error,Save Profile
R4B-034,Me/Notifications,Me > Thông báo > Hệ thống/Sự kiện/AI jobs,Part2 300s,MISSING_RUNTIME_DATA,MEDIUM,Nodes shown without verified result content,Live notification list or Empty State with read state,Runtime state required; no blank screen,loading/ready/empty/error,Read/Dismiss
R4B-035,Tree5 Visual,All Tree5 workspaces,User screenshot + both videos,VISUAL_SHELL,CRITICAL,Horizontal divider/partition stripe below breadcrumb or above content,No divider; Tree5 is continuous content replacing Group B,R4B CSS removes workspaceCrumbs border-bottom and nested top borders,all states,N/A
R4B-036,Tree5 Runtime,All specialized nodes,Both videos,GENERIC_FALLBACK_GUARD,CRITICAL,Input/chat nodes could bypass semantic specialized mapping,Semantic intent gets first chance; generic editor only for truly generic intent,Nav3 condition changed to semantic guard,all states,Domain-specific END
